,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,id_mix
2755,Yes,28,Yes,Engineer,0.0,Low,2.0,Cat_6,A,F_467857
2756,No,35,Yes,Entertainment,8.0,Low,5.0,Cat_6,C,M_460153
2757,Yes,39,Yes,Executive,9.0,High,5.0,Cat_2,A,M_465215
2758,Yes,69,Yes,Lawyer,0.0,High,2.0,Cat_6,C,F_466746
2759,No,18,No,Healthcare,6.0,Low,4.0,Cat_4,D,M_464857
2760,Yes,46,Yes,Artist,,Low,1.0,Cat_6,A,M_459478
2761,Yes,50,Yes,Engineer,1.0,High,2.0,Cat_4,B,F_460723
2762,No,30,No,Executive,5.0,Low,5.0,Cat_6,A,M_459853
2763,No,41,No,Artist,,Low,2.0,Cat_6,B,F_459390
2764,No,39,Yes,Artist,3.0,Low,4.0,Cat_6,D,F_460410
2765,No,29,No,Marketing,8.0,Low,4.0,Cat_6,D,F_463823
2766,Yes,37,Yes,Artist,4.0,Low,4.0,Cat_5,B,F_462008
2767,Yes,39,Yes,Engineer,0.0,Average,2.0,Cat_6,A,F_459750
2768,Yes,48,Yes,Artist,0.0,Average,5.0,Cat_7,C,F_459880
2769,No,32,Yes,Doctor,0.0,Low,3.0,Cat_6,C,F_459261
2770,Yes,78,No,Lawyer,1.0,Low,,Cat_6,B,M_465656
2771,Yes,43,No,Engineer,0.0,Average,5.0,Cat_4,B,F_465395
2772,No,29,No,Marketing,8.0,Low,5.0,Cat_6,C,M_461631
2773,Yes,28,No,Engineer,9.0,Average,2.0,Cat_4,A,F_464904
2774,Yes,80,Yes,Lawyer,1.0,Low,1.0,Cat_6,B,M_461740
2775,No,28,Yes,Healthcare,7.0,Low,4.0,Cat_6,D,F_467092
2776,Yes,71,Yes,Artist,6.0,Average,3.0,Cat_6,C,M_464173
2777,Yes,67,No,Lawyer,0.0,High,9.0,Cat_4,A,M_464972
2778,No,26,No,Engineer,0.0,Low,1.0,Cat_2,A,F_467959
2779,Yes,47,Yes,Engineer,0.0,Average,2.0,Cat_6,C,F_467688
2780,Yes,43,Yes,Artist,2.0,Average,2.0,Cat_6,B,F_460043
2781,No,27,Yes,Healthcare,0.0,Low,4.0,Cat_6,C,F_466590
2782,Yes,45,Yes,Marketing,8.0,Low,4.0,Cat_6,D,F_461191
2783,Yes,76,No,Executive,1.0,Low,1.0,Cat_6,C,M_465662
2784,Yes,43,Yes,Artist,3.0,Average,4.0,Cat_6,C,F_459231
2785,Yes,78,Yes,Lawyer,1.0,High,2.0,Cat_6,B,F_466495
2786,Yes,35,Yes,Artist,3.0,Average,3.0,Cat_6,C,M_459192
2787,No,49,Yes,Artist,1.0,Low,1.0,Cat_6,C,F_465710
2788,No,25,Yes,Healthcare,1.0,Low,5.0,Cat_6,D,F_460258
2789,Yes,37,No,Executive,0.0,Average,5.0,Cat_6,A,M_462813
2790,No,32,No,Healthcare,1.0,Low,5.0,,C,F_463595
2791,Yes,60,Yes,Doctor,0.0,Average,2.0,Cat_6,C,M_467768
2792,Yes,45,Yes,Artist,5.0,Average,3.0,Cat_6,C,F_465291
2793,Yes,49,Yes,Homemaker,9.0,Average,3.0,Cat_6,C,F_462996
2794,No,32,Yes,Artist,0.0,Low,5.0,Cat_6,D,M_463497
2795,Yes,40,Yes,Artist,0.0,Low,3.0,Cat_3,B,F_465301
2796,Yes,59,No,Artist,2.0,Average,2.0,Cat_4,C,M_464702
2797,Yes,48,Yes,Artist,3.0,Low,5.0,Cat_6,B,M_459012
2798,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C,M_465053
2799,Yes,70,Yes,Lawyer,0.0,Low,2.0,Cat_6,B,F_459420
2800,No,31,Yes,Artist,5.0,Low,2.0,Cat_6,B,M_464166
2801,Yes,72,Yes,Lawyer,0.0,High,2.0,Cat_6,C,F_458987
2802,Yes,50,Yes,Artist,3.0,Average,4.0,Cat_6,C,M_467745
2803,No,23,No,Engineer,11.0,Low,1.0,Cat_3,D,F_464866
2804,No,20,No,Healthcare,2.0,Low,6.0,Cat_6,D,F_461081
2805,No,22,No,Healthcare,4.0,Low,3.0,Cat_6,D,F_467896
2806,No,31,Yes,Engineer,8.0,Low,1.0,Cat_6,A,F_463991
2807,Yes,36,Yes,Artist,7.0,Average,2.0,Cat_6,C,F_466620
2808,Yes,52,No,Entertainment,,Average,5.0,Cat_4,B,M_462594
2809,No,29,Yes,Artist,,Low,1.0,Cat_4,B,F_462206
2810,Yes,40,Yes,Artist,4.0,Average,4.0,Cat_6,C,M_460697
2811,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,A,F_467934
2812,Yes,38,Yes,Artist,,Low,2.0,Cat_6,C,M_460054
2813,Yes,85,No,Lawyer,,Low,,,A,F_459576
2814,No,21,No,Doctor,1.0,Low,3.0,Cat_7,A,F_467910
2815,Yes,41,No,Engineer,4.0,Average,2.0,Cat_6,D,F_467335
2816,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,B,M_460263
2817,Yes,53,Yes,Artist,1.0,Average,3.0,Cat_6,B,M_459340
2818,Yes,42,Yes,Artist,5.0,Low,2.0,Cat_6,C,F_465622
2819,Yes,42,No,Executive,8.0,Low,2.0,Cat_6,D,M_459395
2820,Yes,48,Yes,Artist,,Average,4.0,Cat_7,C,M_467539
2821,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C,M_466574
2822,Yes,41,Yes,Executive,1.0,Average,3.0,Cat_6,A,M_466544
2823,Yes,31,Yes,Artist,0.0,Average,2.0,Cat_6,A,F_463610
2824,Yes,49,Yes,Artist,1.0,High,5.0,Cat_6,B,F_465539
2825,Yes,67,Yes,Executive,1.0,Low,2.0,Cat_6,A,M_459823
2826,Yes,35,No,Artist,4.0,Average,2.0,Cat_6,B,M_467614
2827,No,26,Yes,Healthcare,0.0,Low,3.0,Cat_6,C,F_459073
2828,,19,No,Healthcare,9.0,Low,3.0,Cat_3,D,M_466065
2829,Yes,25,No,Engineer,6.0,Average,8.0,Cat_4,D,F_464863
2830,Yes,39,Yes,Healthcare,4.0,Low,2.0,Cat_6,A,F_460022
2831,Yes,63,Yes,Entertainment,0.0,Low,2.0,Cat_6,A,M_459929
2832,No,23,No,Healthcare,8.0,Low,3.0,Cat_6,D,M_466613
2833,No,23,No,Healthcare,0.0,Low,3.0,Cat_3,D,F_461149
2834,Yes,53,Yes,Artist,2.0,Low,1.0,Cat_6,C,F_466068
2835,No,33,Yes,Doctor,0.0,Low,2.0,Cat_6,B,M_461513
2836,Yes,50,No,Engineer,,Average,4.0,Cat_2,B,F_464761
2837,Yes,69,Yes,Engineer,0.0,Low,2.0,Cat_4,B,F_466236
2838,No,37,Yes,Artist,2.0,Low,1.0,Cat_6,B,M_459664
2839,No,20,No,Marketing,3.0,Low,4.0,Cat_7,C,F_461967
2840,,85,No,Lawyer,0.0,High,1.0,Cat_3,C,F_460516
2841,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C,F_461710
2842,No,18,No,Healthcare,0.0,Low,3.0,Cat_3,D,M_462742
2843,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C,F_459528
2844,Yes,25,No,Doctor,,Average,2.0,Cat_4,B,M_462691
2845,Yes,56,No,Executive,,High,2.0,Cat_6,A,M_462934
2846,No,62,Yes,,0.0,Low,1.0,Cat_6,A,M_465837
2847,No,35,,Artist,0.0,Low,3.0,Cat_6,B,F_464613
2848,Yes,28,Yes,Engineer,0.0,Average,2.0,Cat_6,A,M_467515
2849,No,28,Yes,Artist,7.0,Low,3.0,Cat_6,A,F_463429
2850,No,20,No,Healthcare,0.0,Low,5.0,Cat_7,D,M_464024
2851,No,27,No,Homemaker,8.0,Low,1.0,Cat_3,D,F_460691
2852,No,56,No,Engineer,,Low,1.0,Cat_6,A,F_461825
2853,Yes,45,Yes,Artist,4.0,Average,4.0,Cat_6,B,M_467271
2854,No,25,Yes,Healthcare,1.0,Low,4.0,Cat_4,B,M_465634
2855,No,40,No,Marketing,1.0,Low,1.0,Cat_4,D,M_464801
2856,Yes,25,Yes,Healthcare,,Low,2.0,Cat_6,D,F_459429
2857,Yes,74,No,Lawyer,,High,2.0,Cat_6,D,F_459888
2858,No,23,No,Healthcare,0.0,Low,4.0,,D,F_463467
2859,Yes,67,Yes,Lawyer,0.0,High,2.0,Cat_6,B,F_462036
2860,No,21,No,Healthcare,0.0,Low,4.0,,D,M_461282
2861,No,38,Yes,Artist,9.0,Low,1.0,Cat_3,A,F_460448
2862,No,28,No,Healthcare,0.0,Low,4.0,Cat_2,C,M_464464
2863,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B,F_462410
2864,No,33,Yes,,0.0,Low,4.0,,D,F_467252
2865,Yes,56,No,Lawyer,1.0,High,4.0,Cat_4,B,F_459756
2866,Yes,53,Yes,Artist,1.0,Low,2.0,Cat_6,C,F_463789
2867,Yes,57,No,Executive,1.0,High,5.0,Cat_6,C,M_466947
2868,Yes,59,Yes,Artist,0.0,Average,3.0,Cat_6,C,F_464150
2869,Yes,25,Yes,Healthcare,1.0,High,4.0,Cat_4,A,F_465693
2870,Yes,59,Yes,Artist,0.0,Average,6.0,Cat_6,C,M_461670
2871,Yes,36,Yes,Artist,0.0,Low,4.0,Cat_6,C,F_466768
2872,Yes,37,Yes,Entertainment,7.0,Low,2.0,Cat_6,A,M_461550
2873,No,22,No,Doctor,1.0,Low,3.0,Cat_2,D,M_462438
2874,Yes,43,Yes,Artist,1.0,Low,2.0,Cat_6,B,M_460704
2875,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_4,A,M_464884
2876,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B,F_467050
2877,No,49,No,Engineer,1.0,Low,,Cat_7,A,F_460738
2878,No,38,Yes,Doctor,8.0,Low,1.0,Cat_2,B,M_466176
2879,Yes,47,No,Artist,,Average,4.0,Cat_6,A,M_459488
2880,Yes,70,Yes,Lawyer,1.0,High,3.0,Cat_6,C,M_467773
2881,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B,F_465425
2882,Yes,82,No,Lawyer,0.0,Average,2.0,Cat_6,A,F_462318
2883,Yes,51,No,Executive,,Low,1.0,Cat_6,A,F_466078
2884,No,42,No,Homemaker,11.0,Low,,Cat_6,A,F_460792
2885,No,38,Yes,Artist,8.0,Low,3.0,Cat_2,A,M_460197
2886,Yes,18,No,Executive,0.0,High,4.0,Cat_6,A,M_459375
2887,Yes,50,Yes,Artist,6.0,Average,3.0,Cat_6,C,M_463862
2888,No,46,Yes,Doctor,1.0,Low,,Cat_3,A,F_460144
2889,Yes,72,No,Lawyer,1.0,High,3.0,Cat_6,D,F_462721
2890,No,33,No,Engineer,,Low,4.0,Cat_6,C,F_459637
2891,No,25,No,Homemaker,1.0,Low,7.0,Cat_4,B,F_465809
2892,Yes,75,No,Entertainment,2.0,High,2.0,Cat_2,D,F_466915
2893,No,72,Yes,Artist,1.0,Low,1.0,Cat_6,B,M_467343
2894,Yes,72,Yes,Artist,0.0,Average,3.0,Cat_4,C,F_466268
2895,Yes,36,Yes,Entertainment,6.0,Low,6.0,Cat_4,A,M_464868
2896,Yes,40,Yes,Artist,1.0,Low,2.0,Cat_6,A,M_464038
2897,No,28,Yes,Entertainment,0.0,Low,4.0,Cat_6,C,F_460176
2898,No,28,Yes,Doctor,0.0,Low,3.0,Cat_6,D,F_462161
2899,,19,No,Entertainment,0.0,High,3.0,Cat_4,D,M_464841
2900,Yes,43,Yes,Artist,0.0,Low,2.0,Cat_4,B,M_464893
2901,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_6,B,F_464443
2902,Yes,65,Yes,Lawyer,1.0,High,2.0,Cat_6,B,M_467619
2903,Yes,52,Yes,Executive,7.0,High,4.0,Cat_4,C,M_465974
2904,No,40,Yes,Artist,1.0,Low,1.0,Cat_6,B,F_462075
2905,Yes,69,No,Engineer,9.0,Low,3.0,Cat_6,A,F_459494
2906,No,22,No,Healthcare,3.0,Low,3.0,Cat_6,D,F_466921
2907,Yes,47,Yes,Executive,1.0,Average,4.0,Cat_6,C,M_463544
2908,Yes,29,Yes,Marketing,1.0,High,2.0,Cat_3,A,M_461167
2909,Yes,46,Yes,Artist,1.0,Average,3.0,Cat_3,C,M_467364
2910,No,32,Yes,Artist,1.0,Low,2.0,Cat_6,A,M_462408
2911,No,38,Yes,Healthcare,0.0,Low,1.0,Cat_2,C,F_466224
2912,Yes,59,Yes,Artist,0.0,Low,1.0,Cat_6,B,M_465151
2913,No,26,Yes,Entertainment,1.0,Low,1.0,Cat_6,D,F_467216
2914,No,26,Yes,Healthcare,1.0,Low,2.0,Cat_3,A,M_460586
2915,No,28,No,Marketing,0.0,Low,1.0,Cat_3,D,M_461197
2916,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,C,F_462776
2917,No,43,,Entertainment,,Low,1.0,Cat_6,B,F_465058
2918,No,27,No,Doctor,1.0,Low,3.0,Cat_6,D,M_464088
2919,No,32,No,Artist,,Low,8.0,Cat_6,C,F_459471
2920,No,26,No,Engineer,0.0,Low,4.0,Cat_4,D,M_464695
2921,No,31,No,Entertainment,0.0,Low,2.0,Cat_6,D,F_462331
2922,Yes,39,Yes,Executive,1.0,High,3.0,Cat_3,B,M_466523
2923,Yes,43,No,Engineer,1.0,Low,3.0,Cat_7,A,F_465337
2924,Yes,25,No,Doctor,1.0,Low,2.0,Cat_1,A,M_460834
2925,Yes,40,Yes,Artist,3.0,High,3.0,Cat_6,A,M_466824
2926,Yes,40,Yes,Entertainment,7.0,Average,2.0,Cat_3,B,F_461607
2927,Yes,63,Yes,Entertainment,,Average,3.0,Cat_6,C,M_465091
2928,Yes,27,Yes,Healthcare,,Low,2.0,Cat_6,D,F_459532
2929,No,27,Yes,Healthcare,1.0,Low,3.0,Cat_6,D,M_466999
2930,No,19,No,Healthcare,1.0,Low,2.0,Cat_6,D,F_466597
2931,Yes,86,Yes,Lawyer,0.0,High,2.0,Cat_6,B,F_464075
2932,Yes,41,Yes,Marketing,,High,2.0,Cat_6,B,M_463394
2933,Yes,27,Yes,Artist,4.0,Average,2.0,Cat_3,C,F_462163
2934,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B,F_463895
2935,Yes,53,No,Engineer,8.0,Average,4.0,Cat_4,B,F_464767
2936,Yes,49,No,Engineer,,Average,4.0,Cat_4,B,F_464763
2937,Yes,55,No,Executive,3.0,Low,,Cat_4,D,M_460718
2938,,57,Yes,Engineer,0.0,Average,4.0,Cat_2,C,F_461989
2939,Yes,83,No,Lawyer,,Low,1.0,Cat_4,B,M_466374
2940,Yes,43,No,Executive,0.0,High,4.0,Cat_6,A,M_463738
2941,Yes,36,No,Doctor,6.0,Low,3.0,Cat_6,A,M_465967
2942,Yes,74,Yes,Lawyer,0.0,Low,2.0,Cat_6,C,M_462260
2943,No,30,No,Homemaker,0.0,Low,4.0,Cat_6,D,F_467234
2944,No,37,Yes,Artist,5.0,Low,2.0,Cat_6,B,F_466573
2945,No,22,No,Marketing,0.0,Low,1.0,Cat_5,B,F_463229
2946,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D,M_459768
2947,Yes,70,Yes,Engineer,4.0,High,2.0,Cat_6,B,M_462541
2948,Yes,89,Yes,Lawyer,13.0,Low,1.0,Cat_6,A,M_467714
2949,No,18,No,Healthcare,,Low,4.0,Cat_6,D,M_467730
2950,No,25,Yes,Doctor,6.0,Low,1.0,Cat_2,D,M_459474
2951,No,45,Yes,Artist,4.0,Low,1.0,Cat_3,A,F_460093
2952,No,35,Yes,Artist,3.0,Low,1.0,Cat_4,A,F_467865
2953,Yes,37,No,Engineer,7.0,Low,1.0,Cat_4,D,F_465758
2954,Yes,39,No,Engineer,4.0,Average,2.0,Cat_6,B,F_464184
2955,No,32,Yes,Healthcare,1.0,Low,5.0,Cat_4,D,F_462618
2956,Yes,62,Yes,Artist,2.0,Average,3.0,Cat_6,C,F_464226
2957,Yes,58,Yes,Engineer,0.0,Average,4.0,Cat_4,B,F_465432
2958,No,32,No,Engineer,,Low,4.0,Cat_6,C,F_464087
2959,No,25,No,Healthcare,0.0,Low,5.0,Cat_6,C,M_466627
2960,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C,F_467380
2961,No,36,Yes,Entertainment,10.0,Low,2.0,Cat_6,A,F_465842
2962,No,30,No,Healthcare,8.0,Low,3.0,Cat_6,A,F_464622
2963,No,19,No,Healthcare,1.0,Low,5.0,Cat_6,D,M_462083
2964,No,27,Yes,Healthcare,0.0,Low,2.0,Cat_6,A,M_460910
2965,No,38,Yes,Doctor,14.0,Low,1.0,Cat_6,A,F_460255
2966,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C,M_460109
2967,No,29,Yes,Artist,3.0,Low,1.0,Cat_6,B,M_464306
2968,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,B,M_466835
2969,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,A,M_465192
2970,Yes,69,Yes,Engineer,1.0,Low,1.0,Cat_3,A,F_463380
2971,No,26,No,Healthcare,1.0,Low,8.0,Cat_7,C,F_462391
2972,Yes,83,Yes,Lawyer,0.0,Low,3.0,Cat_6,A,F_467086
2973,No,39,Yes,Healthcare,9.0,Low,1.0,Cat_6,D,F_460306
2974,Yes,35,Yes,Artist,9.0,Low,1.0,Cat_6,A,M_460752
2975,Yes,19,No,Marketing,2.0,High,5.0,Cat_6,C,M_467264
2976,Yes,60,Yes,Artist,,High,4.0,Cat_6,C,F_461646
2977,Yes,35,Yes,Artist,,Average,4.0,Cat_6,C,M_463570
2978,No,53,Yes,Engineer,,Low,1.0,Cat_6,B,F_465277
2979,Yes,86,No,Lawyer,,Low,,Cat_6,B,F_467426
2980,No,29,No,Healthcare,1.0,Low,3.0,Cat_6,B,F_466258
2981,No,26,No,Doctor,0.0,Low,1.0,Cat_6,D,F_463719
2982,No,36,Yes,Engineer,8.0,Low,1.0,Cat_6,A,M_460032
2983,No,22,No,Homemaker,0.0,Low,4.0,Cat_6,D,F_465175
2984,No,19,No,Marketing,0.0,Low,5.0,Cat_6,A,M_466610
2985,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,A,F_459036
2986,No,43,Yes,Healthcare,3.0,Low,3.0,Cat_6,D,M_464047
2987,No,42,Yes,Artist,,Low,3.0,Cat_6,A,F_459496
2988,No,43,Yes,Entertainment,1.0,Low,2.0,Cat_4,A,M_459997
2989,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,B,F_463382
2990,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_6,A,M_460967
2991,Yes,61,No,Artist,1.0,High,2.0,Cat_6,B,M_465094
2992,Yes,28,Yes,Healthcare,0.0,Average,2.0,Cat_6,A,F_461229
2993,No,38,Yes,Artist,1.0,Low,1.0,Cat_6,D,M_466442
2994,No,25,No,Executive,12.0,Low,3.0,Cat_6,A,M_464527
2995,No,18,No,Healthcare,9.0,Low,5.0,Cat_4,D,F_463560
2996,Yes,43,Yes,Entertainment,1.0,Average,5.0,Cat_5,C,M_460011
2997,No,27,Yes,Artist,8.0,Low,1.0,Cat_6,B,F_467207
2998,No,60,Yes,Entertainment,1.0,Low,2.0,Cat_6,D,F_465177
2999,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D,M_467531
3000,No,31,No,Doctor,,Low,4.0,Cat_6,D,F_465409
3001,No,23,No,Doctor,6.0,Low,4.0,Cat_2,D,M_462842
3002,No,36,Yes,Artist,8.0,Low,1.0,Cat_6,A,M_462124
3003,No,30,No,Doctor,1.0,Low,1.0,Cat_3,C,M_466265
3004,Yes,56,No,Artist,1.0,Average,2.0,Cat_6,C,M_459789
3005,Yes,52,Yes,Artist,2.0,Low,2.0,Cat_6,C,F_464223
3006,Yes,39,Yes,Entertainment,0.0,Low,1.0,Cat_6,D,M_460280
3007,No,35,No,Artist,5.0,Low,1.0,Cat_6,A,F_460331
3008,Yes,33,No,Engineer,0.0,Average,2.0,Cat_6,B,M_461494
3009,No,25,Yes,Artist,0.0,Low,6.0,Cat_6,A,F_460035
3010,Yes,27,Yes,Artist,0.0,Average,2.0,Cat_4,B,F_463812
3011,Yes,35,Yes,Artist,1.0,High,3.0,Cat_6,A,M_465569
3012,Yes,41,Yes,Artist,1.0,Average,2.0,Cat_6,C,F_466333
3013,Yes,49,Yes,Artist,,Average,3.0,Cat_7,C,F_467668
3014,Yes,46,No,Artist,8.0,Average,2.0,Cat_6,B,F_462723
3015,No,31,No,Healthcare,,Low,2.0,Cat_6,D,F_460909
3016,No,49,Yes,Doctor,,Low,1.0,Cat_6,C,M_467777
3017,No,26,Yes,Artist,9.0,Low,1.0,Cat_6,A,F_462404
3018,Yes,43,Yes,Doctor,13.0,High,2.0,Cat_6,B,M_461799
3019,Yes,30,Yes,Artist,8.0,Low,4.0,Cat_6,A,F_459933
3020,Yes,70,Yes,Artist,1.0,Average,4.0,Cat_6,C,F_463717
3021,No,28,Yes,Artist,,Low,1.0,Cat_6,D,F_463652
3022,Yes,89,No,Lawyer,3.0,High,1.0,Cat_6,D,F_462149
3023,Yes,42,No,Homemaker,6.0,High,4.0,Cat_6,B,F_462769
3024,Yes,37,Yes,Entertainment,6.0,Average,3.0,Cat_4,A,F_465532
3025,Yes,29,No,Executive,1.0,Average,3.0,Cat_6,D,M_462829
3026,Yes,68,Yes,Artist,1.0,High,2.0,Cat_6,C,F_459210
3027,No,25,No,Engineer,1.0,Low,1.0,Cat_4,D,F_464659
3028,No,29,No,Healthcare,1.0,Low,,Cat_6,D,M_461411
3029,Yes,48,Yes,Doctor,0.0,Low,2.0,Cat_6,C,F_467759
3030,Yes,51,Yes,Doctor,1.0,Average,3.0,Cat_1,C,F_461475
3031,Yes,40,Yes,Engineer,1.0,High,5.0,Cat_2,B,F_462714
3032,Yes,47,Yes,Artist,0.0,Average,6.0,Cat_7,B,M_466890
3033,Yes,39,Yes,Executive,,High,3.0,Cat_6,B,M_462888
3034,Yes,35,Yes,Executive,1.0,Average,4.0,Cat_6,C,M_467479
3035,No,19,No,Healthcare,2.0,Low,3.0,Cat_6,D,F_466799
3036,No,21,No,Healthcare,7.0,Low,,Cat_6,D,F_466557
3037,Yes,46,Yes,Entertainment,0.0,Average,3.0,Cat_4,B,M_460873
3038,Yes,86,Yes,Lawyer,0.0,Low,1.0,Cat_6,B,M_466776
3039,Yes,66,Yes,Artist,0.0,High,2.0,Cat_6,B,M_459462
3040,No,42,No,Marketing,1.0,Low,5.0,Cat_4,D,M_465727
3041,Yes,73,Yes,Lawyer,1.0,High,2.0,Cat_6,B,F_462348
3042,Yes,72,No,Engineer,1.0,Low,1.0,Cat_6,A,M_460941
3043,Yes,53,Yes,Artist,0.0,Low,3.0,Cat_6,B,M_461629
3044,Yes,39,Yes,Artist,8.0,Average,2.0,Cat_6,C,F_459907
3045,No,27,No,Homemaker,9.0,Low,1.0,Cat_6,D,F_467146
3046,Yes,63,No,Entertainment,1.0,Average,,Cat_6,B,M_460916
3047,No,23,No,Healthcare,1.0,Low,3.0,Cat_4,D,F_459196
3048,No,30,Yes,Entertainment,0.0,Low,4.0,Cat_6,B,F_465444
3049,Yes,39,Yes,Artist,5.0,Average,2.0,Cat_6,C,F_464186
3050,Yes,26,Yes,Artist,1.0,Average,3.0,Cat_6,B,M_466412
3051,Yes,50,Yes,Entertainment,7.0,Low,3.0,Cat_6,A,F_459480
3052,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,C,F_467880
3053,No,62,No,Entertainment,2.0,Low,1.0,Cat_6,A,F_460216
3054,No,27,Yes,Doctor,1.0,Low,3.0,Cat_6,A,F_467941
3055,Yes,57,Yes,Entertainment,1.0,Low,,Cat_6,A,M_466090
3056,Yes,30,No,Engineer,1.0,Average,7.0,Cat_4,A,F_462572
3057,No,32,No,Healthcare,7.0,Low,4.0,Cat_3,A,M_467443
3058,No,18,,Executive,,Low,5.0,Cat_4,A,M_462548
3059,No,47,No,Artist,3.0,Low,3.0,Cat_5,B,M_459701
3060,No,32,Yes,Artist,4.0,Low,4.0,Cat_2,A,F_461139
3061,Yes,32,No,Engineer,5.0,Low,3.0,Cat_1,A,F_461115
3062,Yes,67,Yes,Doctor,1.0,Average,4.0,Cat_6,B,M_459027
3063,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6,C,F_467340
3064,Yes,79,No,,0.0,Average,2.0,,C,M_461410
3065,No,31,No,Entertainment,1.0,Low,1.0,Cat_4,A,M_460857
3066,Yes,42,Yes,Artist,0.0,Low,3.0,Cat_4,A,M_464300
3067,No,18,No,,0.0,Low,6.0,Cat_6,D,F_460532
3068,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_2,C,M_463287
3069,Yes,71,Yes,Artist,0.0,Average,5.0,Cat_6,C,M_461392
3070,Yes,72,No,Lawyer,1.0,Low,3.0,Cat_6,A,F_461546
3071,Yes,47,Yes,Artist,,Low,3.0,Cat_6,A,M_467780
3072,Yes,45,Yes,Artist,9.0,Average,2.0,Cat_6,C,M_462130
3073,No,40,No,Engineer,9.0,Low,5.0,Cat_4,A,F_464684
3074,No,36,Yes,Engineer,4.0,Low,1.0,Cat_6,A,F_462276
3075,No,42,Yes,Artist,,Low,1.0,Cat_6,B,F_462142
3076,No,30,No,Healthcare,4.0,Low,4.0,Cat_6,D,M_462417
3077,No,29,Yes,Healthcare,2.0,Low,4.0,Cat_4,B,F_466463
3078,No,28,Yes,Engineer,0.0,Low,5.0,Cat_4,D,M_464736
3079,,22,No,Healthcare,,Low,2.0,Cat_6,D,M_467520
3080,Yes,85,No,Lawyer,,Low,1.0,Cat_6,D,M_459835
3081,Yes,40,Yes,Artist,1.0,Average,2.0,Cat_6,C,F_463855
3082,Yes,52,Yes,Artist,14.0,Average,2.0,Cat_6,C,F_460344
3083,Yes,47,Yes,Artist,0.0,Low,,Cat_6,C,M_466211
3084,No,26,No,Artist,6.0,Low,6.0,Cat_5,D,M_460139
3085,No,55,Yes,Marketing,3.0,Low,1.0,Cat_6,B,F_464126
3086,No,20,No,Doctor,4.0,Low,4.0,Cat_6,D,F_461286
3087,Yes,87,Yes,Lawyer,0.0,High,2.0,Cat_6,C,F_461621
3088,No,28,No,Healthcare,0.0,Low,2.0,Cat_4,A,M_460163
3089,No,38,No,Artist,2.0,Low,2.0,Cat_3,A,M_461958
3090,Yes,42,No,Entertainment,1.0,Low,2.0,Cat_4,B,M_464875
3091,Yes,42,No,Marketing,0.0,High,6.0,Cat_4,A,M_464791
3092,No,29,No,Engineer,1.0,Low,4.0,Cat_6,D,F_464579
3093,No,32,Yes,Doctor,0.0,Low,4.0,Cat_6,A,M_463531
3094,Yes,38,No,Executive,,High,5.0,Cat_4,D,M_462651
3095,Yes,59,No,Artist,1.0,High,2.0,Cat_6,C,F_465486
3096,No,22,No,Healthcare,0.0,Low,2.0,Cat_3,D,M_460882
3097,No,26,No,Homemaker,9.0,Low,,Cat_4,D,F_467162
3098,Yes,78,Yes,Artist,1.0,High,2.0,Cat_6,C,F_461298
3099,No,32,Yes,Healthcare,0.0,Low,3.0,Cat_4,A,F_461595
3100,Yes,37,Yes,Artist,0.0,Average,4.0,Cat_7,C,M_459260
3101,Yes,37,Yes,Healthcare,1.0,High,4.0,Cat_6,B,M_462772
3102,No,67,No,Lawyer,,Low,2.0,Cat_6,D,M_462941
3103,Yes,47,No,Artist,0.0,High,4.0,Cat_6,B,M_459143
3104,Yes,68,Yes,Lawyer,0.0,High,2.0,Cat_6,A,F_464532
3105,No,30,Yes,Healthcare,3.0,Low,5.0,Cat_1,C,M_460056
3106,Yes,48,Yes,Entertainment,2.0,Low,1.0,Cat_1,A,F_466761
3107,No,43,Yes,Artist,6.0,Low,1.0,Cat_6,C,F_465469
